transit_timestamp,transit_mode,station_complex_id,station_complex,borough,payment_method,fare_class_category,ridership,transfers,latitude,longitude,georeference
2021-06-14T08:00:00.000,subway,422,"Burke Av (2,5)",Bronx,metrocard,Metrocard - Students,12.0,1.0,40.871357,-73.867165,POINT (-73.867165 40.871357)
2021-06-14T18:00:00.000,subway,403,33 St (6),Manhattan,metrocard,Metrocard - Other,54.0,1.0,40.746082,-73.98208,POINT (-73.98208 40.746082)
2021-06-14T18:00:00.000,subway,36,Bay Ridge Av (R),Brooklyn,metrocard,Metrocard - Other,9.0,0.0,40.634968,-74.02338,POINT (-74.02338 40.634968)
2021-06-14T06:00:00.000,subway,129,Halsey St (L),Queens,metrocard,Metrocard - Students,3.0,0.0,40.695602,-73.90408,POINT (-73.90408 40.695602)
2021-06-14T20:00:00.000,subway,124,Montrose Av (L),Brooklyn,metrocard,Metrocard - Fair Fare,2.0,0.0,40.70774,-73.93985,POINT (-73.93985 40.70774)
2021-06-14T17:00:00.000,subway,614,"59 St-Columbus Circle (A,B,C,D,1)",Manhattan,metrocard,Metrocard - Fair Fare,87.0,6.0,40.768295,-73.981735,POINT (-73.981735 40.768295)
2021-06-14T08:00:00.000,subway,418,"233 St (2,5)",Bronx,metrocard,Metrocard - Other,8.0,1.0,40.893192,-73.857475,POINT (-73.857475 40.893192)
2021-06-14T15:00:00.000,subway,362,Middletown Rd (6),Bronx,metrocard,Metrocard - Full Fare,22.0,0.0,40.843864,-73.83632,POINT (-73.83632 40.843864)
2021-06-14T07:00:00.000,subway,605,"168 St (A,C,1)",Manhattan,metrocard,Metrocard - Seniors & Disability,21.0,2.0,40.840717,-73.93956,POINT (-73.93956 40.840717)
2021-06-14T05:00:00.000,subway,620,"Court St (R)/Borough Hall (2,3,4,5)",Brooklyn,metrocard,Metrocard - Seniors & Disability,5.0,0.0,40.69322,-73.99,POINT (-73.99 40.69322)
2021-06-14T04:00:00.000,subway,399,68 St-Hunter College (6),Manhattan,metrocard,Metrocard - Unlimited 7-Day,1.0,0.0,40.768143,-73.96387,POINT (-73.96387 40.768143)
2021-06-14T10:00:00.000,subway,232,2 Av (F),Manhattan,metrocard,Metrocard - Unlimited 30-Day,22.0,0.0,40.7234,-73.98994,POINT (-73.98994 40.7234)
2021-06-14T06:00:00.000,subway,364,Zerega Av (6),Bronx,metrocard,Metrocard - Fair Fare,6.0,0.0,40.836487,-73.84704,POINT (-73.84704 40.836487)
2021-06-14T18:00:00.000,subway,617,"Atlantic Av-Barclays Ctr (B,D,N,Q,R,2,3,4,5)",Brooklyn,metrocard,Metrocard - Full Fare,477.0,22.0,40.68446,-73.97689,POINT (-73.97689 40.68446)
2021-06-14T05:00:00.000,subway,127,DeKalb Av (L),Brooklyn,metrocard,Metrocard - Other,6.0,0.0,40.70381,-73.91843,POINT (-73.91843 40.70381)
2021-06-14T07:00:00.000,subway,242,"Fort Hamilton Pkwy (F,G)",Brooklyn,metrocard,Metrocard - Fair Fare,3.0,0.0,40.650784,-73.97578,POINT (-73.97578 40.650784)
2021-06-14T15:00:00.000,subway,602,"14 St-Union Sq (L,N,Q,R,W,4,5,6)",Manhattan,metrocard,Metrocard - Other,115.0,2.0,40.735737,-73.98995,POINT (-73.98995 40.735737)
2021-06-14T21:00:00.000,subway,476,86 St (Q),Manhattan,metrocard,Metrocard - Full Fare,104.0,2.0,40.77789,-73.95179,POINT (-73.95179 40.77789)
2021-06-14T08:00:00.000,subway,26,"DeKalb Av (B,Q,R)",Brooklyn,metrocard,Metrocard - Seniors & Disability,20.0,5.0,40.690636,-73.98183,POINT (-73.98183 40.690636)
2021-06-14T03:00:00.000,subway,123,Grand St (L),Brooklyn,omny,OMNY - Full Fare,2.0,0.0,40.711926,-73.94067,POINT (-73.94067 40.711926)
2021-06-14T15:00:00.000,subway,41,"7 Av (B,Q)",Brooklyn,metrocard,Metrocard - Other,12.0,0.0,40.67705,-73.97237,POINT (-73.97237 40.67705)
2021-06-14T16:00:00.000,subway,120,Bedford Av (L),Brooklyn,metrocard,Metrocard - Unlimited 7-Day,163.0,0.0,40.717304,-73.95687,POINT (-73.95687 40.717304)
2021-06-14T05:00:00.000,subway,616,"74-Broadway (7)/Jackson Hts-Roosevelt Av (E,F,M,R)",Queens,metrocard,Metrocard - Seniors & Disability,22.0,11.0,40.746643,-73.891335,POINT (-73.891335 40.746643)
2021-06-14T23:00:00.000,subway,604,"161 St-Yankee Stadium (B,D,4)",Bronx,metrocard,Metrocard - Unlimited 30-Day,11.0,0.0,40.827995,-73.92565,POINT (-73.92565 40.827995)
2021-06-14T16:00:00.000,subway,421,"Gun Hill Rd (2,5)",Bronx,metrocard,Metrocard - Other,22.0,1.0,40.87785,-73.86626,POINT (-73.86626 40.87785)
2021-06-14T17:00:00.000,subway,62,55 St (D),Brooklyn,metrocard,Metrocard - Other,4.0,0.0,40.631435,-73.995476,POINT (-73.995476 40.631435)
2021-06-14T21:00:00.000,subway,42,"Prospect Park (B,Q,S)",Brooklyn,metrocard,Metrocard - Unlimited 7-Day,19.0,0.0,40.661613,-73.96225,POINT (-73.96225 40.661613)
2021-06-14T12:00:00.000,subway,241,"15 St-Prospect Park (F,G)",Brooklyn,metrocard,Metrocard - Full Fare,32.0,3.0,40.660366,-73.97949,POINT (-73.97949 40.660366)
2021-06-14T12:00:00.000,subway,413,"Wall St (4,5)",Manhattan,metrocard,Metrocard - Fair Fare,2.0,0.0,40.707558,-74.01186,POINT (-74.01186 40.707558)
2021-06-14T11:00:00.000,subway,260,"75 Av (E,F)",Queens,omny,OMNY - Full Fare,4.0,0.0,40.71833,-73.837326,POINT (-73.837326 40.71833)
2021-06-14T15:00:00.000,subway,119,1 Av (L),Manhattan,metrocard,Metrocard - Full Fare,342.0,22.0,40.730953,-73.98163,POINT (-73.98163 40.730953)
2021-06-14T07:00:00.000,subway,262,"67 Av (M,R)",Queens,metrocard,Metrocard - Unlimited 30-Day,119.0,0.0,40.726524,-73.85272,POINT (-73.85272 40.726524)
2021-06-14T05:00:00.000,subway,4,"Broadway (N,W)",Queens,metrocard,Metrocard - Fair Fare,3.0,0.0,40.76182,-73.92551,POINT (-73.92551 40.76182)
2021-06-14T19:00:00.000,subway,360,Pelham Bay Park (6),Bronx,metrocard,Metrocard - Students,6.0,1.0,40.852463,-73.82812,POINT (-73.82812 40.852463)
2021-06-14T06:00:00.000,subway,361,Buhre Av (6),Bronx,metrocard,Metrocard - Seniors & Disability,8.0,0.0,40.84681,-73.832565,POINT (-73.832565 40.84681)
2021-06-14T14:00:00.000,subway,150,155 St (C),Manhattan,metrocard,Metrocard - Students,4.0,0.0,40.830517,-73.94151,POINT (-73.94151 40.830517)
2021-06-14T06:00:00.000,subway,392,"125 St (4,5,6)",Manhattan,metrocard,Metrocard - Fair Fare,26.0,1.0,40.80414,-73.93759,POINT (-73.93759 40.80414)
2021-06-14T23:00:00.000,subway,396,96 St (6),Manhattan,metrocard,Metrocard - Full Fare,41.0,5.0,40.78567,-73.95107,POINT (-73.95107 40.78567)
2021-06-14T09:00:00.000,staten_island_railway,501,St George (SIR),Staten Island,metrocard,Metrocard - Unlimited 7-Day,9.0,0.0,40.64375,-74.07365,POINT (-74.07365 40.64375)
2021-06-14T13:00:00.000,subway,424,"Pelham Pkwy (2,5)",Bronx,metrocard,Metrocard - Unlimited 30-Day,20.0,0.0,40.857193,-73.867615,POINT (-73.867615 40.857193)
2021-06-14T15:00:00.000,subway,62,55 St (D),Brooklyn,metrocard,Metrocard - Other,1.0,0.0,40.631435,-73.995476,POINT (-73.995476 40.631435)
2021-06-14T07:00:00.000,subway,630,"Myrtle-Wyckoff Avs (L,M)",Brooklyn,metrocard,Metrocard - Full Fare,395.0,91.0,40.699814,-73.91158,POINT (-73.91158 40.699814)
2021-06-14T15:00:00.000,subway,120,Bedford Av (L),Brooklyn,metrocard,Metrocard - Full Fare,238.0,1.0,40.717304,-73.95687,POINT (-73.95687 40.717304)
2021-06-14T13:00:00.000,subway,362,Middletown Rd (6),Bronx,metrocard,Metrocard - Students,2.0,0.0,40.843864,-73.83632,POINT (-73.83632 40.843864)
2021-06-14T09:00:00.000,subway,260,"75 Av (E,F)",Queens,metrocard,Metrocard - Fair Fare,4.0,0.0,40.71833,-73.837326,POINT (-73.837326 40.71833)
2021-06-14T14:00:00.000,subway,399,68 St-Hunter College (6),Manhattan,metrocard,Metrocard - Unlimited 7-Day,95.0,0.0,40.768143,-73.96387,POINT (-73.96387 40.768143)
2021-06-14T19:00:00.000,subway,416,Wakefield-241 St (2),Bronx,metrocard,Metrocard - Students,1.0,0.0,40.903126,-73.85062,POINT (-73.85062 40.903126)
2021-06-14T10:00:00.000,subway,365,Castle Hill Av (6),Bronx,omny,OMNY - Full Fare,23.0,3.0,40.834255,-73.85122,POINT (-73.85122 40.834255)
2021-06-14T04:00:00.000,subway,418,"233 St (2,5)",Bronx,metrocard,Metrocard - Unlimited 7-Day,14.0,0.0,40.893192,-73.857475,POINT (-73.857475 40.893192)
2021-06-14T08:00:00.000,subway,61,50 St (D),Brooklyn,metrocard,Metrocard - Full Fare,42.0,3.0,40.63626,-73.99479,POINT (-73.99479 40.63626)
2021-06-14T14:00:00.000,subway,409,Spring St (6),Manhattan,metrocard,Metrocard - Unlimited 7-Day,35.0,0.0,40.7223,-73.99714,POINT (-73.99714 40.7223)
2021-06-14T12:00:00.000,subway,602,"14 St-Union Sq (L,N,Q,R,W,4,5,6)",Manhattan,metrocard,Metrocard - Fair Fare,49.0,3.0,40.735737,-73.98995,POINT (-73.98995 40.735737)
2021-06-14T21:00:00.000,subway,399,68 St-Hunter College (6),Manhattan,metrocard,Metrocard - Other,10.0,0.0,40.768143,-73.96387,POINT (-73.96387 40.768143)
2021-06-14T11:00:00.000,subway,360,Pelham Bay Park (6),Bronx,metrocard,Metrocard - Other,12.0,5.0,40.852463,-73.82812,POINT (-73.82812 40.852463)
2021-06-14T22:00:00.000,subway,258,"Briarwood (E,F)",Queens,omny,OMNY - Full Fare,2.0,0.0,40.70918,-73.82057,POINT (-73.82057 40.70918)
2021-06-14T21:00:00.000,subway,407,Astor Pl (6),Manhattan,metrocard,Metrocard - Unlimited 7-Day,32.0,0.0,40.730053,-73.99107,POINT (-73.99107 40.730053)
2021-06-14T09:00:00.000,subway,152,"135 St (C,B)",Manhattan,metrocard,Metrocard - Other,7.0,0.0,40.817894,-73.94765,POINT (-73.94765 40.817894)
2021-06-14T02:00:00.000,subway,414,"Bowling Green (4,5)",Manhattan,metrocard,Metrocard - Fair Fare,1.0,1.0,40.70482,-74.01407,POINT (-74.01407 40.70482)
2021-06-14T19:00:00.000,subway,122,Graham Av (L),Brooklyn,metrocard,Metrocard - Other,12.0,0.0,40.714565,-73.94405,POINT (-73.94405 40.714565)
2021-06-14T11:00:00.000,subway,604,"161 St-Yankee Stadium (B,D,4)",Bronx,metrocard,Metrocard - Students,10.0,0.0,40.827995,-73.92565,POINT (-73.92565 40.827995)
2021-06-14T20:00:00.000,subway,259,"Kew Gardens-Union Tpke (E,F)",Queens,metrocard,Metrocard - Unlimited 7-Day,49.0,0.0,40.71444,-73.83101,POINT (-73.83101 40.71444)
2021-06-14T10:00:00.000,subway,50,Avenue M (Q),Brooklyn,metrocard,Metrocard - Students,2.0,0.0,40.61762,-73.9594,POINT (-73.9594 40.61762)
2021-06-14T09:00:00.000,subway,235,York St (F),Brooklyn,metrocard,Metrocard - Students,2.0,0.0,40.701397,-73.98675,POINT (-73.98675 40.701397)
2021-06-14T17:00:00.000,subway,61,50 St (D),Brooklyn,metrocard,Metrocard - Unlimited 30-Day,32.0,0.0,40.63626,-73.99479,POINT (-73.99479 40.63626)
2021-06-14T16:00:00.000,subway,240,"7 Av (F,G)",Brooklyn,omny,OMNY - Full Fare,100.0,3.0,40.66627,-73.98031,POINT (-73.98031 40.66627)
2021-06-14T06:00:00.000,subway,617,"Atlantic Av-Barclays Ctr (B,D,N,Q,R,2,3,4,5)",Brooklyn,metrocard,Metrocard - Seniors & Disability,6.0,2.0,40.68446,-73.97689,POINT (-73.97689 40.68446)
2021-06-14T16:00:00.000,subway,126,Jefferson St (L),Brooklyn,metrocard,Metrocard - Fair Fare,10.0,0.0,40.706608,-73.92291,POINT (-73.92291 40.706608)
2021-06-14T16:00:00.000,subway,114,Central Av (M),Brooklyn,omny,OMNY - Full Fare,23.0,1.0,40.697857,-73.9274,POINT (-73.9274 40.697857)
2021-06-14T23:00:00.000,subway,424,"Pelham Pkwy (2,5)",Bronx,metrocard,Metrocard - Unlimited 7-Day,12.0,0.0,40.857193,-73.867615,POINT (-73.867615 40.857193)
2021-06-14T07:00:00.000,subway,36,Bay Ridge Av (R),Brooklyn,metrocard,Metrocard - Students,11.0,1.0,40.634968,-74.02338,POINT (-74.02338 40.634968)
2021-06-14T14:00:00.000,subway,368,Morrison Av-Soundview (6),Bronx,metrocard,Metrocard - Students,18.0,1.0,40.82952,-73.87452,POINT (-73.87452 40.82952)
2021-06-14T19:00:00.000,subway,127,DeKalb Av (L),Brooklyn,metrocard,Metrocard - Seniors & Disability,5.0,0.0,40.70381,-73.91843,POINT (-73.91843 40.70381)
2021-06-14T06:00:00.000,subway,237,"Carroll St (F,G)",Brooklyn,metrocard,Metrocard - Unlimited 30-Day,18.0,0.0,40.6803,-73.99505,POINT (-73.99505 40.6803)
2021-06-14T12:00:00.000,subway,403,33 St (6),Manhattan,metrocard,Metrocard - Students,7.0,0.0,40.746082,-73.98208,POINT (-73.98208 40.746082)
2021-06-14T15:00:00.000,subway,235,York St (F),Brooklyn,metrocard,Metrocard - Seniors & Disability,7.0,0.0,40.701397,-73.98675,POINT (-73.98675 40.701397)
2021-06-14T05:00:00.000,subway,151,"145 St (A,C,B,D)",Manhattan,metrocard,Metrocard - Students,2.0,0.0,40.824783,-73.944214,POINT (-73.944214 40.824783)
2021-06-14T12:00:00.000,subway,70,Bay 50 St (D),Brooklyn,omny,OMNY - Full Fare,9.0,0.0,40.58884,-73.983765,POINT (-73.983765 40.58884)
2021-06-14T09:00:00.000,subway,36,Bay Ridge Av (R),Brooklyn,metrocard,Metrocard - Students,3.0,0.0,40.634968,-74.02338,POINT (-74.02338 40.634968)
2021-06-14T12:00:00.000,subway,49,Avenue J (Q),Brooklyn,metrocard,Metrocard - Unlimited 30-Day,17.0,0.0,40.62504,-73.9608,POINT (-73.9608 40.62504)
